ID_URBS,NUMERO_LINHA,DESC_LINHA,URL_URBS,URL_GAZETA,URL_MOOVIT
2143,256,BARREIRINHA/GUADALUPE,https://www.urbs.curitiba.pr.gov.br/horario-de-onibus/256,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/barreirinha-guadalupe-256/,
2043,256,BARREIRINHA/GUADALUPE,https://www.urbs.curitiba.pr.gov.br/horario-de-onibus/256,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/barreirinha-guadalupe-256/,
1210,256,BARREIRINHA/GUADALUPE,https://www.urbs.curitiba.pr.gov.br/horario-de-onibus/256,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/barreirinha-guadalupe-256/,
310,875,BIGORRILHO,https://www.urbs.curitiba.pr.gov.br/horario-de-onibus/875,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/bigorrilho-875/,
32,225,BOA VISTA / BARREIRINHA,https://www.urbs.curitiba.pr.gov.br/horario-de-onibus/225,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/boa-vista-barreirinha-225/,
789,201,BOM RETIRO / CABRAL,https://www.urbs.curitiba.pr.gov.br/horario-de-onibus/201,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/bom-retiro-cabral-201/,
55,175,BOM RETIRO / PUC,https://www.urbs.curitiba.pr.gov.br/horario-de-onibus/175,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/bom-retiro-puc-175/,
203,503,BOQUEIRÃO,https://www.urbs.curitiba.pr.gov.br/horario-de-onibus/503,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/boqueirao-503/,
255,505,BOQUEIRÃO / C. CÍVICO,https://www.urbs.curitiba.pr.gov.br/horario-de-onibus/505,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/boqueirao-centro-civico-505/,
775,540,BOQUEIRAO / MONDELEZ,https://www.urbs.curitiba.pr.gov.br/horario-de-onibus/540,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/boqueirao-mondelez-540/,
2147,528,BOQUEIRÃO/PINHEIRINHO,https://www.urbs.curitiba.pr.gov.br/horario-de-onibus/528,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/boqueirao-pinheirinho-528/,
1830,528,BOQUEIRÃO/PINHEIRINHO,https://www.urbs.curitiba.pr.gov.br/horario-de-onibus/528,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/boqueirao-pinheirinho-528/,
2047,528,BOQUEIRÃO/PINHEIRINHO,https://www.urbs.curitiba.pr.gov.br/horario-de-onibus/528,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/boqueirao-pinheirinho-528/,
147,627,BOSCH,https://www.urbs.curitiba.pr.gov.br/horario-de-onibus/627,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/bosch-627/,
271,170,BRACATINGA,https://www.urbs.curitiba.pr.gov.br/horario-de-onibus/170,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/bracatinga-170/,
288,913,BUTIATUVINHA,https://www.urbs.curitiba.pr.gov.br/horario-de-onibus/913,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/butiatuvinha-913/,
2052,948,BUTIATUVINHA/ OURO VERDE,https://www.urbs.curitiba.pr.gov.br/horario-de-onibus/948,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/butiatuvinha-ouro-verde-948/,
2152,948,BUTIATUVINHA/ OURO VERDE,https://www.urbs.curitiba.pr.gov.br/horario-de-onibus/948,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/butiatuvinha-ouro-verde-948/,
1671,948,BUTIATUVINHA/ OURO VERDE,https://www.urbs.curitiba.pr.gov.br/horario-de-onibus/948,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/butiatuvinha-ouro-verde-948/,
778,516,C. BELEM / S. FILHO,https://www.urbs.curitiba.pr.gov.br/horario-de-onibus/516,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/canal-belem-salgado-filho-516/,
327,828,C. COMPRIDO / C. RASO,https://www.urbs.curitiba.pr.gov.br/horario-de-onibus/828,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/campo-comprido-capao-raso-828/,
306,826,C. COMPRIDO / CIC,https://www.urbs.curitiba.pr.gov.br/horario-de-onibus/826,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/campo-comprido-cic-826/,
223,393,C. IMBUIA / PQ. BARIGUI,https://www.urbs.curitiba.pr.gov.br/horario-de-onibus/393,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/capao-da-imbuia-parque-barigui-393/,
378,150,C. MÚSICA / V. ALEGRE,https://www.urbs.curitiba.pr.gov.br/horario-de-onibus/150,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/canal-da-musica-vista-alegre-150/,
832,27,C. RASO / C. DO SIQUEIRA,https://www.urbs.curitiba.pr.gov.br/horario-de-onibus/027,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/capao-raso-campina-do-siqueira-027/,
185,658,C. RASO / CAIUÁ,https://www.urbs.curitiba.pr.gov.br/horario-de-onibus/658,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/capao-raso-caiua-658/,
