bg-amarela,150,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/canal-da-musica-vista-alegre-150/,Canal da Música / Vista Alegre
bg-verde,27,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/capao-raso-campina-do-siqueira-027/,Capão Raso / Campina do Siqueira
bg-laranja,658,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/capao-raso-caiua-658/,Capão Raso / Caiuá
bg-prata,24,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/capao-raso-campina-do-siqueira-024/,Capão Raso / Campina do Siqueira
bg-vermelha,202,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/cabral-c-raso-202/,CABRAL / C.RASO
bg-amarela,207,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/cabral-osorio-207/,Cabral / Osório
bg-laranja,216,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/cabral-portao-216/,Cabral / Portão
bg-laranja,732,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/caiua-campo-comprido-732/,Caiuá / Campo Comprido
bg-prata,702,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/caiua-cachoeira-702/,CAIUA/CACHOEIRA
bg-amarela,706,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/caiua-fazendinha-centro-706/,Caiuá / Fazendinha / Centro
bg-prata,X34,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/caiua-sta-quiteria-X34/,CAIUÁ / STA.QUITÉRIA
bg-amarela,703,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/caiua-703/,Caiuá
bg-amarela,386,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/cajuru-386/,Cajuru
bg-laranja,322,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/camargo-322/,Camargo
bg-amarela,801,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/campina-do-siqueira-batel-801/,Campina do Siqueira / Batel
bg-laranja,816,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/campina-do-siqueira-santa-felicidade-816/,Campina do Siqueira / Santa Felicidade
bg-laranja,654,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/campo-alegre-654/,Campo Alegre
bg-amarela,475,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/canal-belem-475/,Canal Belém
bg-laranja,628,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/carbomafra-628/,Carbomafra
bg-amarela,776,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/carmela-dutra-776/,Carmela Dutra
bg-laranja,668,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/casa-de-custodia-668/,Casa de Custódia
bg-laranja,224,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/cassiopeia-224/,Cassiopéia
bg-laranja,659,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/caximba-olaria-659/,Caximba / Olaria
bg-laranja,335,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/centenario-boqueirao-335/,Centenário / Boqueirão
bg-vermelha,303,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/centenario-campo-comprido-303/,Centenário / Campo Comprido
bg-laranja,338,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/centenario-hauer-338/,Centenário / Hauer
bg-vermelha,302,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/centenario-rui-barbosa-302/,Centenário / Rui Barbosa
bg-prata,305,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/centenario-305/,Centenário
bg-prata,469,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/centro-politecnico-469/,Centro Politécnico
bg-prata,210,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/cic-cabral-210/,CIC / Cabral
bg-prata,X32,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/cic-capao-raso-X32/,CIC / Capão Raso
bg-branca,2,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/circular-centro-anti-horario-002/,Circular Centro (Anti-Horário)
bg-branca,1,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/circular-centro-horario-001/,Circular Centro (Horário)
bg-vermelha,602,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/circular-sul-anti-horario-602/,CIRCULAR SUL  (ANTI-HORÁRIO)
bg-vermelha,502,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/circular-sul-horario-502/,Circular Sul (Horário)
bg-laranja,211,https://especiais.gazetadopovo.com.br/horarios-de-onibus/curitiba/colina-verde-211/,Colina Verde
