889,MAD. SÃO BRÁZ
989,MAD. STA. FELICIDADE
389,MAD. TARUMÃ / AUGUSTA
679,MAD. TATUQUARA
788,MAD. V. VELHA
260,MAL. HERMES / STA. EFIGÊNIA
633,MARIA ANGÉLICA
522,MARINGÁ
721,MÁRIO JORGE
181,MATEUS LEME
594,MENONITAS
331,MERCÚRIO
812,MONTANA
814,MOSSUNGUÊ
521,NIVALDO BRAGA
360,NOVENA
666,NOVO MUNDO
674,NSA. SRA. DA LUZ
280,NSA.SRA.DE NAZARÉ
233,OLARIA
535,OSTERNACK / BOQUEIRÃO
548,OSTERNACK / S. CERCADO
520,OSTERNACK / S. CERCADO L.D.
915,OURO VERDE (VIA VL.BÁDIA)
272,PAINEIRAS
640,PALMEIRA
387,PALOTINOS
343,PARAÍSO
534,PARIGOT DE SOUZA
623,PARQUE INDUSTRIAL
176,PARQUE TANGUÁ
911,PASSAÚNA
928,PASSAÚNA / JD.IPÊ
462,PETRÓPOLIS
304,PINHAIS / C. COMPRIDO
638,PINHEIRINHO
644,PINHEIRINHO / CIC
688,PINHEIRINHO / ZOOLÓGICO
527,PINHEIRINHO/BOQUEIRAO
700,PINHEIRINHO/CABRAL
X35,PINHEIRINHO/PREFEITURA
603,PINHEIRINHO/RUI BARBOSA
916,PINHEIROS
631,PIRATINI / BR 476
649,PIRINEUS
646,POMPEIA/JANAINA
671,PORTÃO
612,PORTÃO / CIC
616,PORTAO / STA. BERNADETHE - L. VERDE
X20,PORTAO/SITIO CERCADO
718,PORTO BELO
171,PRIMAVERA
518,PUC/RODOFERROVIARIA
632,QUARTEL GENERAL
168,RAPOSO TAVARES
X31,REFORCO CAMP.SIQUEIRA
X30,REFORÇO C.IMBUIA
X14,REFORÇO HAUER
815,REFORÇO TUIUTI
684,RIO BONITO
685,RIO BONITO / CIC
636,RIO NEGRO
827,RIVIERA
622,RONDON
164,R.PRADO/C.GOMES
370,RUA XV / BARIGUI
680,RURBANA
546,S. CERCADO / BOQUEIRÃO
610,S. CERCADO / C. RASO
653,SABARÁ
375,SAGRADO CORAÇÃO
552,SAMBAQUI
236,SÃO BENEDITO
965,SÃO BERNARDO
870,SÃO BRAZ
511,SÃO FRANCISCO
213,SÃO JOÃO
670,SÃO JORGE
811,SATURNO
876,SAVÓIA
X11,SITIO CERCADO / C. RASO
508,SÍTIO CERCADO (ANTI-HORÁRIO)
507,SÍTIO CERCADO (HORÁRIO)
212,SOLAR
463,SOLITUDE
713,STA. AMÉLIA
461,STA. BARBARA
203,STA. CÂNDIDA / C. RASO
620,STA. CRUZ
901,STA. FELICIDADE
924,STA. FELICIDADE / STA. CÂNDIDA
902,STA. FELICIDADE L.D.
274,STA. GEMA
531,STA. INÊS
637,STA. JOANA
760,STA. QUITÉRIA
619,STA. RITA / CIC
650,STA. RITA / PINHEIRINHO
243,STA. TEREZINHA
710,STA.AMELIA/P.BELO
372,TARUMÃ
214,TINGUI
545,TRABALHADOR
861,TRAMONTINA
321,TRINDADE
979,TURISMO
472,UBERABA
615,UBERLÂNDIA
643,UMBARÁ
Z01,UNIBRASIL / TUBO DETRAN
165,UNIVERSIDADES
829,UNIV.POSITIVO
323,V. AUTÓDROMO
663,V. CUBAS
222,V. ESPERANÇA
761,V. IZABEL
690,V. JULIANA
242,V. LEONICE
467,V. MACEDO
714,V. MARISA
825,V. MARQUETO
166,V. NORI
336,V. RENO
665,V. REX
762,V. ROSINHA
860,V. SANDRA
471,V. SÃO PAULO
624,V. SÃO PEDRO
184,V. SUIÇA
777,V. VELHA
652,V. VERDE
918,VENEZA
Z03,VIC. DE CARVALHO / C. IMBUIA
779,VILA VELHA/BURITI
630,VITÓRIA RÉGIA
657,XAXIM / CAPÃO RASO
536,ZOOLÓGICO
